"bromeliad.id","dset","AS1","AS2","AS3","AS4","BS1","BS2","BS3","BS4","BS5","DM1","DM2","FD1","FD2","FD3","FD4","FD5","FD6","FD7","FD8","FG1","FG2","FG3","FG4","FG5","FG6","LO1","LO2","LO3","LO4","LO5","LO6","LO7","RE1","RE2","RE3","RE4","RE5","RE6","RE7","RE8","RF1","RF2","RF3","RF4","RM1","RM2","RM3","RM4","RM5","MD1","MD2","MD3","MD4","MD5","MD6","MD7","MD8","CP1","CP2","CP3","BF1","BF2","BF3","BF4","region"
"211",6,5.4,6.52,5.08,0.12,0.12,2.88,3.6,0.48,0,2.88,5.16,5.44,5.76,3.76,5.28,2.6,1.64,1.32,0.68,2.44,2.48,1.4,5.48,1.6,0.72,0,0.44,0.72,5.12,3.44,1.16,2.56,1.56,1.92,0.16,2.88,3.2,1.76,0.56,0.04,0.96,0,3.16,3.8,3.2,1.48,0.48,3.84,0,1.32,0.64,1.08,0.56,0,0.72,0.12,2.56,5.28,1.92,0.96,0.24,0.32,4.44,0.6,"BR_car_closed"
"216",6,9.92,10.6,5.68,1.08,0.72,0.96,6.48,2.52,0.12,5.36,6.88,6.76,7.92,5.84,4.64,1.6,1.04,1.12,1.6,2.8,2.96,4.16,5.04,0.64,1.84,0,0.32,2.08,8.68,2.48,2.68,3.96,1.04,1.68,0.84,5.4,5.56,1.96,2.84,0.36,1.84,0.36,1.8,7.64,6.44,3.8,2.64,4.68,0,1.32,0.4,1.6,0.12,0.04,3.12,0.72,3.96,5.88,2.84,4.2,0.48,1.76,6,0.72,"BR_car_closed"
"221",6,9.4,10.16,3.72,1.92,0,0.6,7.32,1.08,1.44,3.6,7,6.72,7.2,6.44,2.68,0.52,0.48,0.16,1.64,1.76,4.08,5.44,2,0.2,1.64,0,0.2,2.04,8.8,1.52,2.08,2.68,0.16,1.36,0.24,7.8,3,0.32,4.56,1,1,1.92,1.2,6.08,5.32,2.4,4.44,5.52,0,2.28,0.08,2.52,0.32,0.44,4.44,0,2.68,3.72,2.36,5.28,0,2.96,3.96,0,"BR_car_closed"
"226",6,10.8,12.72,8,2.76,0.12,0.24,7.44,3.12,2.08,5.48,8.28,5.48,6.88,6.68,4.8,1.2,1,0.24,2.4,4.04,4.16,2.68,3.08,0.12,2.44,0,1.08,3.48,10.2,3.12,1.44,5.08,0.12,2.4,0.4,8.08,4.12,0.96,1.76,1.16,1.08,2.64,3.36,5.04,5.96,4.92,1.56,4.44,0,3,0,4.08,0.92,2.12,1.72,0.12,5.08,6,1.88,4.68,0.16,1.04,7.2,0.12,"BR_car_closed"
"231",6,20,24.56,13.8,0.6,0.48,1.68,21,1.08,0.48,7.52,22.36,7.84,8.32,19.84,3.16,1.32,0.52,0.48,2.76,6.12,8.28,10.12,3.24,0.2,2.76,0,0.88,2.92,17.76,10.56,2.88,2.52,0.44,2.32,0.48,7.08,17.96,1.44,5.16,0.04,2.44,0.4,1.64,12.4,5.28,2.16,4.92,20.76,0,14.28,0.04,3.24,0.08,0.2,5.24,0.36,2.64,18,3.16,5.96,0.32,3.28,13.48,0.44,"BR_car_closed"
"236",6,48.2,51.52,42.24,0.48,0,1.08,21.72,28.68,0.28,34.28,29.6,33.96,41.72,23.2,36.12,2.4,0.8,1.12,3.32,14.96,9,17.68,35.4,1.12,3.32,0,2.92,6.12,45,14,4.12,33.96,0.24,1.64,0.16,32.4,31.56,4.16,7.88,0.52,11.36,0.48,15.16,30.96,35.88,33.48,6.6,14.64,0,4.8,8.56,6.68,1.04,1.28,7.24,0,33.96,40.24,14.56,10.44,0.64,4.4,40.48,0.4,"BR_car_closed"
"241",6,2.6,2.64,1.36,0,0,0,2.04,0.6,0,1,1.96,1.8,1.8,1.88,0.96,0.48,0,0,0.12,0.4,1.28,1.24,0.92,0,0.12,0,0,0.12,1.96,1.12,0.6,0.88,0,0,0,1.88,2,0.28,0.84,0.04,0.32,0,0.4,2.12,1.56,1.04,0.84,1.56,0,0.84,0,0.28,0,0,0.84,0,0.88,1.2,1.24,0.84,0,0.56,1.76,0,"BR_car_closed"
"246",6,39.64,43.68,29.24,1.2,0.48,3.6,32.04,7.84,0.36,20.56,30.12,29.16,31.08,22.6,20,3.92,1.28,1.36,7.08,9.16,12.84,16.96,19.36,2.52,6.52,0,2.64,8.28,36.96,8.16,7.64,21.2,0.48,5.52,0.88,28.24,19.76,5.28,12.2,1.56,9.32,0.72,9.92,26.52,24.4,16.84,11.04,18.24,0,6,1.6,9.32,1.52,1.6,11.76,0.48,21.2,25.44,11.52,17.64,0.72,7.36,27.36,0.72,"BR_car_closed"
"251",6,0.4,0.48,0.04,0.36,0.36,0.12,0,0,0,0.48,0.04,0,0.36,0.36,0,0.24,0.36,0.12,0,0.36,0.12,0,0.36,0.12,0.12,0,0,0.36,0.48,0.08,0.36,0,0.36,0.36,0.36,0.04,0,0,0.04,0,0,0,0,0.48,0.4,0,0,0.12,0,0.12,0,0,0,0,0,0.36,0,0.12,0,0.36,0,0,0,0.44,"BR_car_closed"
"256",6,11.32,13.2,9.88,1.2,1.08,1.08,9.12,1.92,0.04,6.2,8.84,6.44,8.36,8.16,5.32,2.28,1.68,0.36,1.44,3.96,4.64,3.16,5.48,0.12,1.8,0,0.72,2.48,11.08,3.96,2.92,7,1.08,3.16,1.2,6.92,6,1.28,1.6,0.36,2.44,0.24,3.4,7.04,6.72,5.2,1.56,4.56,0,1.8,0,3.28,0.88,1.68,1.56,1.08,7,7.32,2.76,5.28,0,1.04,8.8,1.16,"BR_car_closed"
"261",6,3.4,3.96,1.48,1.56,0.48,0.24,1.44,1.8,0.36,2.36,1.92,2.2,2.8,1.48,1.92,0.32,0.96,0.48,0.56,2.28,0.64,1.04,1.8,0.24,0.72,0,0.32,1.72,2.44,0.52,1.16,0.6,0.56,1.48,0.88,1.52,0.8,0.6,0.52,1.12,0.36,1.08,0.6,2.12,2.52,1.56,0.48,1.44,0,0.84,0,0.8,0,0,0.64,0.48,0.6,2.48,1.24,1.2,0.16,0.32,2.2,0.8,"BR_car_closed"
"266",6,41.32,42.6,26.8,2.88,2.04,1.44,24.36,14.4,0.72,24.12,26.36,27.12,32.84,22,21.2,4.76,2.68,2.2,6,12.92,10.36,16.08,20.64,3.36,6.32,0,2.2,8.68,35.24,11.92,8.12,16.32,2.12,4.88,2.4,25.32,24.68,4.64,10.64,0.96,7.4,0.84,9.8,30.04,27.68,17.52,9.6,18.6,0,8.16,2.96,7.12,0,1.04,10.16,2.04,16.32,27.36,13,12.72,0.56,6.4,27.72,2.28,"BR_car_closed"
